
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
3.11.50727      Tools for .Net 3.5                                                                                            Microsoft Corporation                              5 {1690CE56-2231-4E59-9006-A0876D949EA8}
4.0.21331      .NET Core SDK 1.0.1 (x64)                                                                                      Microsoft Corporation                              5 {76D869E2-4FB4-4AFF-AF14-99307A26186D}
4.0.37723      .NET Core SDK 1.0.2 (x64)                                                                                      Microsoft Corporation                              5 {EA35E834-8CA4-46DF-A8E5-8F11AC872A30}
4.0.54117      .NET Core SDK 1.0.3 (x64)                                                                                      Microsoft Corporation                              5 {9CD97EAE-EA85-428D-B64F-EA5D3E5233A7}
4.1.5012       .NET Core SDK 1.0.4 (x64)                                                                                      Microsoft Corporation                              5 {11ACCE3C-C179-472C-A8CA-0F467702B2DA}
4.16.5124      .NET Core SDK 1.1.0 (x64)                                                                                      Microsoft Corporation                              5 {DF68596E-0F41-41CC-BAD9-9F30A9662D90}
14.0.600.234   Active Directory Authentication Library for SQL Server                                                         Microsoft Corporation                              5 {700B6680-D89D-4A42-ACE1-553236A0D049}
13.0.1601.5    Active Directory Authentication Library for SQL Server (x86)                                                   Microsoft Corporation                              5 {F40FA676-46B1-4609-85EF-D2F1F79E0C0E}
7.0.20622.1    Application Insights Tools for Visual Studio 2015                                                              Microsoft Corporation                              5 {0E4C791E-B78E-477D-BD5A-CDD0985BA6EC}
14.0.25420     Azure AD Authentication Connected Service                                                                      Microsoft Corporation                              5 {8A1AD070-269F-4A15-AAB5-76AB896EF195}
2.7.30611.1601 AzureTools.Notifications                                                                                       Microsoft Corporation                              5 {1E5CA362-39B6-4BD0-B9C0-69CF15F0FEA2}
12.0.51210.80  Behaviors SDK (Windows Phone) for Visual Studio 2013                                                           Microsoft Corporation                              5 {C1609E6E-10B5-46F4-A48C-AC57045D0B88}
12.0.51210.80  Behaviors SDK (Windows) for Visual Studio 2013                                                                 Microsoft Corporation                              5 {B2429EA1-767E-4947-A458-F2204A2AA1BB}
3.0.40218.0    Blend for Visual Studio SDK for .NET 4.5                                                                       Microsoft Corporation                              5 {37E53780-3944-4A6A-842F-727128E8616E}
3.0.40218.0    Blend for Visual Studio SDK for Silverlight 5                                                                  Microsoft Corporation                              5 {0C03A66F-1FF0-45F9-8D67-0D806EBFFBA1}
3.0.30924.0    Blend for Visual Studio SDK for Windows Phone 8.0                                                              Microsoft Corporation                              5 {403759F5-1D77-49F4-812D-AF43196E8C74}
14.0.1000.169  Browser for SQL Server 2017                                                                                    Microsoft Corporation                              5 {CF8EEB96-E7E7-4EF7-A0A1-559F09953156}
12.0.31010     Build Tools - amd64                                                                                            Microsoft Corporation                              5 {03DE1AEE-D3FA-4BF3-9150-28F54815E888}
12.0.31010     Build Tools - x86                                                                                              Microsoft Corporation                              5 {235CCCE6-3CB9-4E09-9D8E-0F212644C668}
14.0.25527     Build Tools for Windows 10                                                                                     Microsoft Corporation                              5 {3DF885A3-8834-49EB-8390-15DCD84DC5FB}
14.0.25527     Build Tools for Windows 10 - ENU                                                                               Microsoft Corporation                              5 {E5C9A6AC-6AB9-455C-B8AF-FAC95908D0DF}
12.0.31010     Build Tools Language Resources - amd64                                                                         Microsoft Corporation                              5 {6618DB5E-8788-46E1-94F4-9F1C0FC075BD}
12.0.31010     Build Tools Language Resources - x86                                                                           Microsoft Corporation                              5 {772590BC-E61B-4080-B9D5-A71497612F36}
4.7.03083      ClickOnce Bootstrapper Package for Microsoft .NET Framework                                                    Microsoft Corporation                              5 {D256A5B9-68DA-4F6C-A447-A93E5639A46D}
4.7.02053      ClickOnce Bootstrapper Package for Microsoft .NET Framework 4.7 on Visual Studio 2015                          Microsoft Corporation                              5 {02C3C198-5E1B-4A60-91C9-933E18609785}
4.8.03761      ClickOnce Bootstrapper Package for Microsoft .NET Framework 4.8 on Visual Studio 2015                          Microsoft Corporation                              5 {5D49DAEC-B75F-442C-B4AC-C26B091A06AF}
14.0.23107     CodedUITest81                                                                                                  Microsoft Corporation                              5 {3AF80693-9047-3BAA-9554-22AB6C428AB4}
14.0.25527     CodedUITestUAP                                                                                                 Microsoft Corporation                              5 {0AB83CFE-A321-364C-8F78-A79084EC90D4}
15.9.28016     DiagnosticsHub_CollectionService                                                                               Microsoft Corporation                              5 {440C5592-4EA5-4772-B256-969D66068843}
1.13.58.2      DocumentDB Emulator                                                                                            Microsoft Corporation                              5 {5FF70C34-5A11-4970-A73D-80741B6051BB}
14.0.41103.0   Entity Framework 6.1.3 Tools  for Visual Studio 2015 Update 1                                                  Microsoft Corporation                              5 {2A56910C-69C8-495D-8ED8-9080F0A14E58}
6.2.61807.0    Entity Framework 6.2.0 Tools  for Visual Studio 2017                                                           Microsoft Corporation                              5 {B843915F-00A1-44B1-994C-1AE0A6400AE3}
15.8.27906     icecap_collection_neutral                                                                                      Microsoft Corporation                              5 {A3B4D258-74E1-49D6-9A86-2DFEFEE48DEC}
15.8.27906     icecap_collection_x64                                                                                          Microsoft Corporation                              5 {E524832A-C567-499A-8872-0D79596E4DEE}
