
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
24.0.28113      Microsoft .NET Core AppHost Pack - 3.0.0 (x64)                                Microsoft Corporation                              5 {79591F8C-1015-49B4-90FA-232D80F6C7D0}
24.0.28113      Microsoft .NET Core Host - 3.0.0 (x64)                                        Microsoft Corporation                              5 {73F8C23D-8F4A-42E4-AC06-135159FFF9DB}
24.0.28113      Microsoft .NET Core Host FX Resolver - 3.0.0 (x64)                            Microsoft Corporation                              5 {39D048A5-5033-450F-9CF0-F01D1DC79074}
24.0.28113      Microsoft .NET Core Host FX Resolver - 3.0.0 (x86)                            Microsoft Corporation                              5 {5D013CC2-8410-4653-9B57-8DD58E5BE992}
24.0.28113      Microsoft .NET Core Runtime - 3.0.0 (x64)                                     Microsoft Corporation                              5 {462BDDD8-AB95-4861-AB6E-01CC6BD91057}
24.0.28113      Microsoft .NET Core Runtime - 3.0.0 (x86)                                     Microsoft Corporation                              5 {0E4B5B4F-2583-4181-AB9D-B2132144298D}
12.0.14277      Microsoft .NET Core SDK 3.0.100 (x64)                                         Microsoft Corporation                              5 {2594A057-CD99-4023-8F19-9D8513EE5446}
3.0.100.014277  Microsoft .NET Core SDK 3.0.100 (x64) from Visual Studio                      Microsoft Corporation                              5 {C52DB3F0-440B-4A83-B795-B1180D70BBFF}
24.0.28113      Microsoft .NET Core Targeting Pack - 3.0.0 (x64)                              Microsoft Corporation                              5 {99107782-C38E-442A-B764-337C5A75E4E6}
1.0.0.0         Microsoft .NET CoreRuntime For CoreCon                                        Microsoft Corporation                              5 {48A8F171-52F2-372B-8414-EA50617708BE}
1.1.27004.0     Microsoft .NET CoreRuntime SDK                                                Microsoft Corporation                              5 {12702494-9E6A-3F5E-9441-2B7D258A639B}
4.0.30319       Microsoft .NET Framework 4 Multi-Targeting Pack                               Microsoft Corporation                              5 {CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}
4.5.50710       Microsoft .NET Framework 4.5 Multi-Targeting Pack                             Microsoft Corporation                              5 {56E962F0-4FB0-3C67-88DB-9EAA6EEFC493}
4.5.50932       Microsoft .NET Framework 4.5.1 Multi-Targeting Pack                           Microsoft Corporation                              5 {6A0C6700-EA93-372C-8871-DCCF13D160A4}
4.5.51641       Microsoft .NET Framework 4.5.1 SDK                                            Microsoft Corporation                              5 {19A5926D-66E1-46FC-854D-163AA10A52D3}
4.5.51651       Microsoft .NET Framework 4.5.2 Multi-Targeting Pack                           Microsoft Corporation                              5 {19E8AE59-4D4A-3534-B567-6CC08FA4102E}
4.6.00081       Microsoft .NET Framework 4.6 Targeting Pack                                   Microsoft Corporation                              5 {2CC6A4A7-AAC2-46C9-9DBB-3727B5954F65}
4.6.01055       Microsoft .NET Framework 4.6.1 SDK                                            Microsoft Corporation                              5 {2F0ECC80-B9E4-4485-8083-CD32F22ABD92}
4.6.01055       Microsoft .NET Framework 4.6.1 Targeting Pack                                 Microsoft Corporation                              5 {8BC3EEC9-090F-4C53-A8DA-1BEC913040F9}
4.6.01055       Microsoft .NET Framework 4.6.1 Targeting Pack (ENU)                           Microsoft Corporation                              5 {8EEB28EE-5141-411C-9CF0-9952264FE4AF}
4.6.01590       Microsoft .NET Framework 4.6.2 SDK                                            Microsoft Corporation                              5 {5F01B3C4-9BEC-465D-9C68-BB97D381FFAD}
4.6.01590       Microsoft .NET Framework 4.6.2 Targeting Pack                                 Microsoft Corporation                              5 {A18D4C2A-07A8-40E4-9797-DD324E6EA4FC}
4.6.01590       Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)                           Microsoft Corporation                              5 {C80951BD-6904-474F-BBC5-03A6C777F37C}
4.7.02053       Microsoft .NET Framework 4.7 SDK                                              Microsoft Corporation                              5 {3428E9C1-638B-4410-BC11-EDB2B8ECFE3B}
4.7.02053       Microsoft .NET Framework 4.7 Targeting Pack                                   Microsoft Corporation                              5 {EC073C7E-990D-4BB1-BFA9-45C6704E3571}
4.7.02053       Microsoft .NET Framework 4.7 Targeting Pack (ENU)                             Microsoft Corporation                              5 {829CB0F4-AB51-4DB7-8CA2-1C93CCC36D5E}
4.7.02558       Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)            Microsoft Corporation                              5 {8F5A2690-2EBD-4017-B995-C522C9204312}
4.7.02558       Microsoft .NET Framework 4.7.1 SDK                                            Microsoft Corporation                              5 {B9DCCDB9-FCE9-48AD-B534-A7AD270BD52B}
4.7.02558       Microsoft .NET Framework 4.7.1 Targeting Pack                                 Microsoft Corporation                              5 {5686C5E9-A3B3-451E-A2EA-4C246CDE5CC9}
4.7.02558       Microsoft .NET Framework 4.7.1 Targeting Pack (ENU)                           Microsoft Corporation                              5 {ABE94A82-C89E-4ACA-8B30-41E0C6165A23}
4.7.03081       Microsoft .NET Framework 4.7.2 SDK                                            Microsoft Corporation                              5 {F42C96C1-746B-442A-B58C-9F0FD5F3AB8A}
4.7.03062       Microsoft .NET Framework 4.7.2 Targeting Pack                                 Microsoft Corporation                              5 {1784A8CD-F7FE-47E2-A87D-1F31E7242D0D}
4.7.03062       Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                           Microsoft Corporation                              5 {B517DBD3-B542-4FC8-9957-FFB2C3E65D1D}
4.8.03928       Microsoft .NET Framework 4.8 SDK                                              Microsoft Corporation                              5 {949C0535-171C-480F-9CF4-D25C9E60FE88}
4.8.03761       Microsoft .NET Framework 4.8 Targeting Pack                                   Microsoft Corporation                              5 {BAAF5851-0759-422D-A1E9-90061B597188}
4.8.03761       Microsoft .NET Framework 4.8 Targeting Pack (ENU)                             Microsoft Corporation                              5 {A4EA9EE5-7CFF-4C5F-B159-B9B4E5D2BDE2}
4.8.03761       Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) Microsoft Corporation                              5 {C33E412F-4981-4953-825C-9DEA45ABEC01}
15.0.24211.06   Microsoft .NET Native SDK                                                     Microsoft Corporation                              5 {A527D13C-CB86-3604-BFDC-68F585895663}
24.0.28113      Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                          Microsoft Corporation                              5 {A7036CFB-B403-4598-85FF-D397ABB88173}
